State,Poll Source,Poll Date,Sample Size,Reported Proportion for Biden,Reported Proportion for Trump,Estimated p hat Biden wins,Estimated std dev,Grade,Bias
Arizona,Benenson / GS Strategy,9/10/2020,1600.0,50.5,49.5,0.505,0.01249937498437422,B/C,D +3.8
Arizona,CNBC/Change Research,9/09/2020,470.0,52.0,48.0,0.52,0.023044822190401774,C-,D +1.6
Arizona,Redfield & Wilton,9/08/2020,830.0,52.5,47.5,0.525,0.01733354572004573,0,0
Arizona,Fox News,9/02/2020,772.0,54.5,45.5,0.545,0.017922364238469574,A-,D +2.7
Arizona,Morning Consult,9/01/2020,9443.0,55.0,45.0,0.55,0.005119559641658092,0,0
Arizona,CNBC/Change Research,8/26/2020,344.0,51.0,49.0,0.51,0.026952801122927708,C-,D +1.6
Arizona,Redfield & Wilton,8/21/2020,856.0,54.5,45.5,0.545,0.017020294373504462,0,0
Arizona,CNBC/Change Research,8/12/2020,428.0,50.5,49.5,0.505,0.02416720377531826,C-,D +1.6
Arizona,Emerson College,8/11/2020,661.0,52.0,48.0,0.52,0.01943218161451632,0,0
Arizona,Trafalgar Group,8/10/2020,1013.0,49.5,50.5,0.495,0.015708820090249875,0,0
Arizona,OH Predictive Insights,8/10/2020,603.0,52.0,48.0,0.52,0.020345278279215215,0,0
Arizona,Redfield & Wilton,7/30/2020,858.0,54.0,46.0,0.54,0.017015007772860097,0,0
Arizona,CNBC/Change Research,7/29/2020,365.0,51.0,49.0,0.51,0.026165961366756148,C-,D +1.6
Arizona,Morning Consult,7/28/2020,908.0,53.5,46.5,0.535,0.016552379814789162,0,0
Arizona,NBC News/Marist,7/26/2020,826.0,52.5,47.5,0.525,0.017375464876112436,A+,R +0.4
Arizona,CNN/SSRS,7/26/2020,873.0,52.0,48.0,0.52,0.01690889271717584,B+,D +0.0
Arizona,Spry Strategies,7/22/2020,700.0,52.0,48.0,0.52,0.018883099019266634,0,0
Arizona,Public Policy,7/22/2020,960.0,52.0,48.0,0.52,0.0161245154965971,B,D +0.4
Arizona,OH Predictive Insights,7/16/2020,600.0,52.5,47.5,0.525,0.020386883037875114,0,0
Arizona,CNBC/Change Research,7/15/2020,345.0,53.0,47.0,0.53,0.02687059704411583,C-,D +1.6
Arizona,YouGov/CBS News,7/12/2020,1099.0,50.0,50.0,0.5,0.015082424435169042,B,D +0.4
Arizona,Data Orbital,7/01/2020,600.0,51.0,49.0,0.51,0.020408331631958553,0,0
Arizona,CNBC/Change Research,7/01/2020,311.0,53.5,46.5,0.535,0.02828285017723479,C-,D +1.6
Arizona,Redfield & Wilton,6/25/2020,865.0,52.0,48.0,0.52,0.01698690417041309,0,0
Arizona,NY Times / Siena College,6/25/2020,650.0,53.5,46.5,0.535,0.01956350605670592,A+,R +0.4
Arizona,CNBC/Change Research,6/17/2020,201.0,50.5,49.5,0.505,0.03526551738480396,C-,D +1.6
Arizona,Civiqs,6/16/2020,1368.0,52.0,48.0,0.52,0.013507632670119408,0,0
Arizona,CNBC/Change Research,6/03/2020,329.0,49.5,50.5,0.495,0.027564513991923424,C-,D +1.6
Arizona,Fox News,6/03/2020,1002.0,52.0,48.0,0.52,0.015782959051052044,A-,D +2.7
Arizona,HighGround,5/26/2020,400.0,51.0,49.0,0.51,0.024994999499899976,B/C,R +4.4
Arizona,Redfield & Wilton,5/21/2020,946.0,52.0,48.0,0.52,0.016243391891069114,0,0
Arizona,OH Predictive Insights,5/19/2020,600.0,53.5,46.5,0.535,0.020362342694297236,0,0
Arizona,OH Predictive Insights,4/14/2020,600.0,54.5,45.5,0.545,0.020329576155608032,0,0
Arizona,NBC News/Marist,3/16/2020,2523.0,50.5,49.5,0.505,0.009953817257835213,A+,R +0.4
Arizona,Monmouth University,3/16/2020,847.0,51.5,48.5,0.515,0.01717247048682907,0,0
Arizona,Univision/ASU,3/13/2020,1036.0,54.0,46.0,0.54,0.015484454777884167,B/C,D +5.8
Arizona,OH Predictive Insights,3/13/2020,600.0,53.0,47.0,0.53,0.02037563904928301,0,0
Arizona,Public Policy,3/05/2020,666.0,50.5,49.5,0.505,0.01937363770276088,B,D +0.4
Arizona,Fabrizio Lee,2/28/2020,1000.0,47.5,52.5,0.475,0.015791611697353755,B/C,D +2.1
Arizona,Public Policy,1/08/2020,760.0,50.0,50.0,0.5,0.01813690625275029,B,D +0.4
Arkansas,Axios / SurveyMonkey,10/17/2020,1466.0,40.5,59.5,0.405,0.012820914657710663,D-,D +5.6
Arkansas,Axios / SurveyMonkey,10/01/2020,771.0,38.0,62.0,0.38,0.017480765787094184,D-,D +5.6
Arkansas,Hendrix College,6/14/2020,869.0,49.0,51.0,0.49,0.01695794568186657,0,0
California,Axios / SurveyMonkey,10/17/2020,22318.0,63.0,37.0,0.63,0.003231792733574401,D-,D +5.6
California,SurveyUSA,9/29/2020,588.0,63.5,36.5,0.635,0.01985384522121665,0,0
California,Redfield & Wilton,9/27/2020,1733.0,67.0,33.0,0.67,0.01129523029209293,0,0
California,UC Berkeley,9/25/2020,5942.0,69.5,30.5,0.695,0.00597277284709559,C/D,R +5.9
California,PPIC,9/17/2020,1168.0,64.5,35.5,0.645,0.014001437059317424,A/B,R +4.4
California,Spry Strategies,9/07/2020,600.0,58.5,41.5,0.585,0.020115292689891442,0,0
California,Redfield & Wilton,8/14/2020,2000.0,68.0,32.0,0.68,0.010430723848324237,0,0
California,UC Berkeley,8/04/2020,6756.0,69.5,30.5,0.695,0.005601411794465589,C/D,R +5.9
California,PPIC,6/04/2020,1048.0,62.0,38.0,0.62,0.01499363732739136,A/B,R +4.4
California,SurveyUSA,5/20/2020,537.0,64.0,36.0,0.64,0.020713528896100945,0,0
California,Emerson College,5/11/2020,800.0,65.0,35.0,0.65,0.016863421954040052,0,0
California,Public Policy,4/01/2020,962.0,69.0,31.0,0.69,0.014911380631895638,B,D +0.4
California,CNN/SSRS,2/28/2020,951.0,62.5,37.5,0.625,0.015698761228229007,B+,D +0.0
California,USC,2/20/2020,1200.0,65.0,35.0,0.65,0.013768926368215254,B/C,D +1.2
California,SurveyUSA,1/21/2020,1967.0,62.0,38.0,0.62,0.010944236341570504,0,0
Colorado,Keating Research,10/15/2020,519.0,57.5,42.5,0.575,0.021699249252261087,0,0
Colorado,Civiqs,10/15/2020,1013.0,56.0,44.0,0.56,0.015596086278496854,0,0
Colorado,Morning Consult,10/13/2020,837.0,57.0,43.0,0.57,0.017112321327588435,0,0
Colorado,SurveyUSA,10/08/2020,1021.0,55.0,45.0,0.55,0.015569502321735368,0,0
Colorado,Fabrizio Ward / Hart Research,9/10/2020,800.0,55.0,45.0,0.55,0.01758905909933786,0,0
Colorado,Global Strategy Group,9/03/2020,800.0,56.0,44.0,0.56,0.017549928774784243,0,0
Colorado,Morning Consult,9/03/2020,638.0,55.0,45.0,0.55,0.019695964928958382,0,0
Colorado,Morning Consult,9/01/2020,,55.0,45.0,0.55,,0,0
Colorado,Public Policy,7/28/2020,891.0,56.5,43.5,0.565,0.01660848430296247,B,D +0.4
Colorado,Morning Consult,7/28/2020,616.0,56.5,43.5,0.565,0.019974618634917403,0,0
Colorado,Public Policy,7/01/2020,840.0,58.5,41.5,0.585,0.01700052520197118,B,D +0.4
Colorado,Global Strategy Group,5/18/2020,800.0,56.5,43.5,0.565,0.017527656717313926,0,0
Colorado,Keating Research,5/06/2020,600.0,60.0,40.0,0.6,0.02,0,0
Colorado,Montana State U.,5/05/2020,380.0,59.0,41.0,0.59,0.025230516193063136,B/C,D +3.0
Connecticut,Axios / SurveyMonkey,10/17/2020,2681.0,65.0,35.0,0.65,0.009211753191811032,D-,D +5.6
Connecticut,Axios / SurveyMonkey,10/01/2020,1415.0,62.0,38.0,0.62,0.01290355636188924,D-,D +5.6
Connecticut,SurveyUSA,6/18/2020,808.0,60.0,40.0,0.6,0.017234549688642783,0,0
Connecticut,Quinnipiac,5/06/2020,945.0,61.5,38.5,0.615,0.015828946760778353,B+,D +0.2
Connecticut,GreatBlue Research,4/10/2020,866.0,57.0,43.0,0.57,0.016823358884510663,0,0
Connecticut,GreatBlue Research,3/17/2020,881.0,57.5,42.5,0.575,0.016654838784496563,0,0
Delaware,Univ. of Delaware,10/05/2020,847.0,60.5,39.5,0.605,0.016797108594721208,0,0
Delaware,Axios / SurveyMonkey,10/01/2020,395.0,62.0,38.0,0.62,0.02442244247004242,D-,D +5.6
Delaware,Public Policy,8/25/2020,710.0,60.5,39.5,0.605,0.018346239588598354,B,D +0.4
Delaware,Gonzales Research,1/27/2020,410.0,58.0,42.0,0.58,0.02437511726050594,B/C,R +2.1
Florida,Hill-HarrisX,10/16/2020,965.0,50.0,50.0,0.5,0.01609556949949126,0,0
Florida,Mason-Dixon,10/16/2020,625.0,51.5,48.5,0.515,0.019990997974088237,B+,R +0.7
Florida,Ipsos/Reuters,10/14/2020,653.0,51.0,49.0,0.51,0.01956259831106131,B-,D +0.5
Florida,Trafalgar Group,10/14/2020,1051.0,49.0,51.0,0.49,0.015419907554876959,0,0
Florida,Florida Atlantic Univ.,10/13/2020,644.0,52.0,48.0,0.52,0.019686991637920526,B/C,D +2.9
Florida,Morning Consult,10/13/2020,4785.0,52.5,47.5,0.525,0.007219140354697022,0,0
Florida,St. Pete Polls,10/12/2020,2215.0,51.0,49.0,0.51,0.010621754583348925,0,0
Florida,Emerson College,10/12/2020,690.0,51.5,48.5,0.515,0.019026107158932652,0,0
Florida,Redfield & Wilton,10/09/2020,998.0,52.5,47.5,0.525,0.0158074270360169,0,0
Florida,InsiderAdvantage,10/08/2020,400.0,48.5,51.5,0.485,0.024988747467610296,B-,D +1.8
Florida,St. Leo University,10/07/2020,489.0,53.0,47.0,0.53,0.02257004547991065,C/D,D +8.5
Florida,Ipsos/Reuters,10/07/2020,678.0,52.0,48.0,0.52,0.01918701625892765,B-,D +0.5
Florida,Quinnipiac,10/07/2020,1211.0,55.5,44.5,0.555,0.014280862099173966,B+,D +0.2
Florida,CNBC/Change Research,10/06/2020,590.0,52.0,48.0,0.52,0.020568199908052896,C-,D +1.6
Florida,Suffolk University,10/06/2020,500.0,50.0,50.0,0.5,0.022360679774997897,0,0
Florida,Univ. of North Florida,10/06/2020,3134.0,53.0,47.0,0.53,0.008915328861266473,A/B,D +3.9
Florida,NY Times / Siena College,10/03/2020,710.0,52.5,47.5,0.525,0.01874119511573894,A+,R +0.4
Florida,Redfield & Wilton,10/02/2020,1073.0,52.5,47.5,0.525,0.015244970753373135,0,0
Florida,Ipsos/Reuters,9/23/2020,586.0,50.0,50.0,0.5,0.02065480961930069,B-,D +0.5
Florida,CNBC/Change Research,9/23/2020,702.0,51.5,48.5,0.515,0.018862789913076043,C-,D +1.6
Florida,St. Pete Polls,9/23/2020,2906.0,51.5,48.5,0.515,0.009271002087001073,0,0
Florida,ABC News / Wash. Post,9/23/2020,613.0,48.0,52.0,0.48,0.02017864747770186,A+,D +0.8
Florida,YouGov/CBS News,9/20/2020,1205.0,51.0,49.0,0.51,0.014400899003749126,B,D +0.4
Florida,Redfield & Wilton,9/18/2020,1158.0,51.5,48.5,0.515,0.014686564066383707,0,0
Florida,Kaiser Family Foundation,9/17/2020,1009.0,50.5,49.5,0.505,0.015739926695149564,0,0
Florida,Monmouth University,9/15/2020,428.0,52.5,47.5,0.525,0.024138182805647952,0,0
Florida,Florida Atlantic Univ.,9/15/2020,631.0,50.0,50.0,0.5,0.019904685716450824,B/C,D +2.9
Florida,Benenson / GS Strategy,9/10/2020,1600.0,51.0,49.0,0.51,0.012497499749949988,B/C,D +3.8
Florida,St. Pete Polls,9/09/2020,2689.0,51.5,48.5,0.515,0.009637826030350303,0,0
Florida,CNBC/Change Research,9/09/2020,1144.0,51.5,48.5,0.515,0.014776156137838765,C-,D +1.6
Florida,Redfield & Wilton,9/08/2020,1093.0,51.5,48.5,0.515,0.015116957874206695,0,0
Florida,NBC News/Marist,9/08/2020,766.0,50.0,50.0,0.5,0.018065734338248103,A+,R +0.4
Florida,Trafalgar Group,9/04/2020,1022.0,48.5,51.5,0.485,0.01563324146642512,0,0
Florida,Quinnipiac,9/03/2020,1235.0,51.5,48.5,0.515,0.014221355897478728,B+,D +0.2
Florida,Morning Consult,9/01/2020,,51.0,49.0,0.51,,0,0
Florida,CNBC/Change Research,8/26/2020,1262.0,51.5,48.5,0.515,0.014068403189569131,C-,D +1.6
Florida,Public Policy,8/25/2020,671.0,52.0,48.0,0.52,0.019286837901647105,B,D +0.4
Florida,Redfield & Wilton,8/21/2020,1280.0,54.0,46.0,0.54,0.013930631715755032,0,0
Florida,CNBC/Change Research,8/12/2020,469.0,53.0,47.0,0.53,0.023046259218491075,C-,D +1.6
Florida,Redfield & Wilton,7/30/2020,1121.0,53.5,46.5,0.535,0.014897059801268474,0,0
Florida,Mason-Dixon,7/30/2020,625.0,52.0,48.0,0.52,0.019983993594874874,B+,R +0.7
Florida,CNBC/Change Research,7/29/2020,865.0,51.5,48.5,0.515,0.016992858071364157,C-,D +1.6
Florida,Morning Consult,7/28/2020,3760.0,51.5,48.5,0.515,0.008150430741782653,0,0
Florida,CNN/SSRS,7/26/2020,880.0,52.5,47.5,0.525,0.01683391463142729,B+,D +0.0
Florida,Quinnipiac,7/23/2020,924.0,56.5,43.5,0.565,0.016309207820745304,B+,D +0.2
Florida,St. Pete Polls,7/23/2020,3018.0,53.0,47.0,0.53,0.009085048415121557,0,0
Florida,CNBC/Change Research,7/15/2020,1128.0,53.5,46.5,0.535,0.014850764719904408,C-,D +1.6
Florida,Gravis Marketing,7/13/2020,529.0,55.0,45.0,0.55,0.02163016167623087,0,0
Florida,YouGov/CBS News,7/12/2020,1229.0,53.0,47.0,0.53,0.014236752082037629,B,D +0.4
Florida,Trafalgar Group,7/03/2020,1072.0,50.0,50.0,0.5,0.015271180544538153,0,0
Florida,CNBC/Change Research,7/01/2020,951.0,52.5,47.5,0.525,0.01619333118179848,C-,D +1.6
Florida,Fox News,6/25/2020,1010.0,54.5,45.5,0.545,0.015669071509831014,A-,D +2.7
Florida,Redfield & Wilton,6/25/2020,1079.0,52.0,48.0,0.52,0.01520938201258747,0,0
Florida,NY Times / Siena College,6/25/2020,651.0,53.0,47.0,0.53,0.01956123945698999,A+,R +0.4
Florida,CNBC/Change Research,6/17/2020,713.0,53.5,46.5,0.535,0.018679214209336024,C-,D +1.6
Florida,TIPP Battleground Poll,6/16/2020,876.0,55.5,44.5,0.555,0.016790918125786015,0,0
Florida,Cygnal,6/11/2020,881.0,51.5,48.5,0.515,0.016837845864256736,0,0
Florida,CNBC/Change Research,6/03/2020,1186.0,51.5,48.5,0.515,0.014512162718874446,C-,D +1.6
Florida,St. Pete Polls,5/28/2020,4763.0,50.5,49.5,0.505,0.007244493010820959,0,0
Florida,Redfield & Wilton,5/21/2020,1014.0,51.0,49.0,0.51,0.015698716639968118,0,0
Florida,Florida Atlantic Univ.,5/15/2020,928.0,53.0,47.0,0.53,0.016383733522550074,B/C,D +2.9
Florida,Fox News,4/23/2020,1004.0,51.5,48.5,0.515,0.01577275754198002,A-,D +2.7
Florida,Quinnipiac,4/22/2020,1385.0,52.0,48.0,0.52,0.013424477885496885,B+,D +0.2
Florida,St. Pete Polls,4/18/2020,5659.0,50.0,50.0,0.5,0.006646609399135984,0,0
Florida,Univ. of North Florida,4/06/2020,3222.0,53.0,47.0,0.53,0.008792737254663468,A/B,D +3.9
Florida,Univision,3/16/2020,1071.0,48.5,51.5,0.485,0.015271431497450586,0,0
Florida,Florida Atlantic Univ.,3/10/2020,1216.0,49.0,51.0,0.49,0.014335615383409692,B/C,D +2.9
Florida,Univ. of North Florida,2/20/2020,725.0,50.5,49.5,0.505,0.01856860531780122,A/B,D +3.9
Florida,Cherry Communications,1/21/2020,608.0,48.0,52.0,0.48,0.02026144900517911,0,0
Florida,Florida Atlantic Univ.,1/15/2020,1285.0,51.0,49.0,0.51,0.013945418895508526,B/C,D +2.9
Georgia,Quinnipiac,10/14/2020,1040.0,53.5,46.5,0.535,0.015466309539422478,B+,D +0.2
Georgia,SurveyUSA,10/13/2020,677.0,51.0,49.0,0.51,0.01921271735398397,0,0
Georgia,Morning Consult,10/13/2020,1837.0,49.0,51.0,0.49,0.011663490767147724,0,0
Georgia,Public Policy,10/10/2020,528.0,50.5,49.5,0.505,0.021758618981911514,B,D +0.4
Georgia,Landmark Comm.,10/09/2020,600.0,49.0,51.0,0.49,0.020408331631958553,B,D +2.8
Georgia,Univ. of Georgia,10/09/2020,1106.0,49.0,51.0,0.49,0.015031612258457427,B/C,R +4.1
Georgia,Redfield & Wilton,10/02/2020,789.0,50.5,49.5,0.505,0.017799581316902773,0,0
Georgia,Landmark Comm.,10/01/2020,500.0,51.0,49.0,0.51,0.022356207191739835,B,D +2.8
Georgia,Civiqs,9/29/2020,969.0,51.5,48.5,0.515,0.016055084486669542,0,0
Georgia,Quinnipiac,9/29/2020,1125.0,51.5,48.5,0.515,0.014900410136040626,B+,D +0.2
Georgia,YouGov/CBS News,9/27/2020,1142.0,49.5,50.5,0.495,0.014795009098363728,B,D +0.4
Georgia,NY Times / Siena College,9/24/2020,523.0,50.0,50.0,0.5,0.021863473472331304,A+,R +0.4
Georgia,Monmouth University,9/23/2020,402.0,49.5,50.5,0.495,0.024936486484846962,0,0
Georgia,Univ. of Georgia,9/22/2020,1150.0,50.0,50.0,0.5,0.014744195615489713,B/C,R +4.1
Georgia,Redfield & Wilton,9/20/2020,800.0,49.5,50.5,0.495,0.017676785624089014,0,0
Georgia,Fabrizio Ward / Hart Research,9/10/2020,800.0,50.5,49.5,0.505,0.017676785624089014,0,0
Georgia,Landmark Comm.,9/01/2020,500.0,46.5,53.5,0.465,0.022305828834634233,B,D +2.8
Georgia,Morning Consult,9/01/2020,,51.5,48.5,0.515,,0,0
Georgia,Public Policy,8/31/2020,782.0,50.5,49.5,0.505,0.0178790694757779,B,D +0.4
Georgia,Landmark Comm.,8/17/2020,500.0,49.0,51.0,0.49,0.022356207191739835,B,D +2.8
Georgia,SurveyUSA,8/11/2020,623.0,51.0,49.0,0.51,0.020028070189252335,0,0
Georgia,YouGov/CBS News,8/02/2020,1109.0,50.5,49.5,0.505,0.015013519606169408,B,D +0.4
Georgia,Monmouth University,7/29/2020,402.0,50.0,50.0,0.5,0.024937733402690822,0,0
Georgia,Public Policy,7/28/2020,722.0,50.5,49.5,0.505,0.01860714276219896,B,D +0.4
Georgia,Morning Consult,7/28/2020,1337.0,50.5,49.5,0.505,0.013673590987780858,0,0
Georgia,Spry Strategies,7/22/2020,700.0,48.5,51.5,0.485,0.018889717535511975,0,0
Georgia,Trafalgar Group,7/20/2020,1023.0,46.5,53.5,0.465,0.01559428799855313,0,0
Georgia,Public Policy,6/29/2020,734.0,52.0,48.0,0.52,0.018440566583291483,B,D +0.4
Georgia,Fox News,6/25/2020,1013.0,51.0,49.0,0.51,0.015706463354794375,A-,D +2.7
Georgia,Public Policy,6/16/2020,661.0,51.0,49.0,0.51,0.019443856101369696,B,D +0.4
Georgia,TargetSmart,6/03/2020,321.0,48.0,52.0,0.48,0.02788494384892937,B/C,D +5.3
Georgia,Civiqs,5/19/2020,1339.0,50.5,49.5,0.505,0.013663375378594063,0,0
Georgia,Public Opinion Strategies,5/12/2020,500.0,50.5,49.5,0.505,0.0223595617130569,0,0
Georgia,Cygnal,5/01/2020,591.0,49.5,50.5,0.495,0.02056622335644559,0,0
Georgia,Univ. of Georgia,3/04/2020,1117.0,46.0,54.0,0.46,0.01491245716483127,B/C,R +4.1
Georgia,Mason-Dixon,1/09/2020,625.0,46.5,53.5,0.465,0.019950939827486823,B+,R +0.7
Hawaii,MRG Research,10/16/2020,988.0,66.5,33.5,0.665,0.015016017089453822,0,0
Hawaii,Axios / SurveyMonkey,10/01/2020,474.0,66.5,33.5,0.665,0.02167924010376732,D-,D +5.6
Hawaii,MRG Research,8/05/2020,975.0,63.5,36.5,0.635,0.015418104576047885,0,0
Idaho,Axios / SurveyMonkey,10/17/2020,1364.0,40.0,60.0,0.4,0.013264730648561457,D-,D +5.6
Idaho,Spry Strategies,9/07/2020,600.0,37.0,63.0,0.37,0.019710403344427023,0,0
Illinois,Axios / SurveyMonkey,10/17/2020,7469.0,61.5,38.5,0.615,0.005630366855528603,D-,D +5.6
Illinois,Victory Research,9/28/2020,1208.0,56.5,43.5,0.565,0.01426380474585286,0,0
Indiana,SurveyUSA,10/14/2020,527.0,46.5,53.5,0.465,0.021726914726426568,0,0
Indiana,Change Research,9/10/2020,1033.0,43.0,57.0,0.43,0.015403573842614544,0,0
Indiana,Morning Consult,8/05/2020,900.0,41.5,58.5,0.415,0.016424067705656843,0,0
Indiana,Change Research,4/19/2020,1021.0,43.5,56.5,0.435,0.015515150094928777,0,0
Iowa,YouGov/CBS News,10/11/2020,1035.0,50.0,50.0,0.5,0.015541746804005229,B,D +0.4
Iowa,Quinnipiac,10/07/2020,1205.0,52.5,47.5,0.525,0.014385764055790699,B+,D +0.2
Iowa,Civiqs,10/07/2020,756.0,50.5,49.5,0.505,0.018183914922391214,0,0
Iowa,RABA Research,9/30/2020,780.0,51.0,49.0,0.51,0.01789929091848656,0,0
Iowa,Monmouth University,9/24/2020,402.0,47.0,53.0,0.47,0.024892805010555408,0,0
Iowa,NY Times / Siena College,9/24/2020,501.0,51.5,48.5,0.515,0.022328298059000756,A+,R +0.4
Iowa,Selzer & Company,9/22/2020,658.0,50.0,50.0,0.5,0.019492029389636262,A+,D +0.2
Iowa,Fabrizio Ward / Hart Research,9/10/2020,800.0,49.0,51.0,0.49,0.017674133642133636,0,0
Iowa,RMG Research,8/06/2020,500.0,49.5,50.5,0.495,0.0223595617130569,0,0
Iowa,Monmouth University,8/05/2020,401.0,48.5,51.5,0.485,0.0249575699789036,0,0
Iowa,Public Policy,7/28/2020,1118.0,49.5,50.5,0.495,0.014952967409415707,B,D +0.4
Iowa,Spry Strategies,7/22/2020,701.0,51.0,49.0,0.51,0.018880962039369103,0,0
Iowa,Selzer & Company,6/15/2020,674.0,49.5,50.5,0.495,0.019258317406188614,A+,D +0.2
Iowa,Civiqs,6/09/2020,865.0,50.0,50.0,0.5,0.017000510022951148,0,0
Iowa,Public Policy,6/05/2020,963.0,49.5,50.5,0.495,0.016111469183545505,B,D +0.4
Iowa,Public Policy,5/04/2020,1222.0,49.0,51.0,0.49,0.014300378258305112,B,D +0.4
Iowa,Selzer & Company,3/11/2020,667.0,45.0,55.0,0.45,0.019263033711389203,A+,D +0.2
Iowa,NY Times / Siena College,1/25/2020,1689.0,49.0,51.0,0.49,0.012163772902581553,A+,R +0.4
Iowa,Public Policy,1/08/2020,964.0,48.5,51.5,0.485,0.016096667266718153,B,D +0.4
Kansas,Axios / SurveyMonkey,10/17/2020,1972.0,46.5,53.5,0.465,0.011231814239721855,D-,D +5.6
Kansas,Civiqs,9/30/2020,677.0,45.0,55.0,0.45,0.019120236829741576,0,0
Kansas,SurveyUSA,8/12/2020,1202.0,46.5,53.5,0.465,0.014386366951963206,0,0
Kansas,Public Policy,8/07/2020,864.0,46.5,53.5,0.465,0.01696861891191436,B,D +0.4
Kansas,Civiqs,6/02/2020,699.0,44.0,56.0,0.44,0.01877507860270927,0,0
Kansas,Public Policy,3/12/2020,1567.0,44.0,56.0,0.44,0.012539662665219446,B,D +0.4
Kansas,DFM Research,2/10/2020,600.0,46.0,54.0,0.46,0.020346989949375806,0,0
Kentucky,Axios / SurveyMonkey,10/17/2020,2525.0,41.5,58.5,0.415,0.009805534908993243,D-,D +5.6
Kentucky,Quinnipiac,9/16/2020,1164.0,40.0,60.0,0.4,0.014359163172354762,B+,D +0.2
Kentucky,Quinnipiac,8/06/2020,909.0,45.5,54.5,0.455,0.016516651597039814,B+,D +0.2
Kentucky,Morning Consult,8/04/2020,793.0,38.0,62.0,0.38,0.01723657801565571,0,0
Kentucky,Spry Strategies,7/22/2020,600.0,37.0,63.0,0.37,0.019710403344427023,0,0
Kentucky,Civiqs,6/18/2020,898.0,40.0,60.0,0.4,0.016348106283743936,0,0
